3	Autonomous
0	Aircraft Vehicles
1	Ignore
2	Government
4	Hardware
5	Passengers
6	Demand
7	Crisis
8	Fuel
9	Passengers+Cargo
10	Market
11	Incidents
12	Aircraft Components
13	Period Reports
15	Provider Companies
16	Crowded
17	Flights
18	Apps+Software
19	Digitalization
20	Covid
21	Usefulness
22	Ignore
23	Drivers
24	Regional(2)
25	KPIs
26	Ignore
27	Ignore
28	Magnitude
29	Ignore
14	Ignore
30	Regional
31	Persons
32	Bad Sentiment
33	Seasonal
34	Trips
35	Logistics
36	Companies
37	Environment
38	Locations
39	Vacation Period